password,username,first_name,last_name,email,city,state,phone,graduationDate,company_name,company_city,company_state,ft_date_accepted,ft_expected_salary,ft_position_title,ft_contact,ft_hours_looking,ft_salary,ft_position_description,ft_current_job,ft_start_date,ft_end_date,ft_avg_hours_week,ft_satisfaction,ft_projected_raise_time_months,ft_family_friendly,ft_family_friendly_response,ft_pros,ft_cons,intern_company_name,intern_company_city,intern_company_state,intern_how_obtained,intern_hours_looking,intern_position_title,offer_company_name,offer_company_city,offer_company_state,intern_offer
Password1,jonathan,Jonathan,Luther,ninja.luther@gmail.com,Springville,UT,8014565132,2018-04-26,Cicsco,San Francisco,CA,2018-04-26,500000,BI/DB,Y,4,500000,Fun,TRUE,2018-04-26,2018-04-26,40,VS,3,TRUE,Fun,Woot woot,womrs,,,,,,,,,,
Password1,judy,Judy,McMillan,judeelu@gmail.com,Springville,UT,8014569873,2018-04-27,Tableau,Seattle,WA,2018-04-27,543215,Consulting,Y,3,543215,Exciting,TRUE,2018-04-27,2018-04-27,32,VS,2,FALSE,Exciting,Money,tomatos,,,,,,,,,,
Password1,michael,Micahel,Luther,lexikos@gmail.com,Springville ,UT,4563216576,2018-04-28,Expedia,Bellvue,WA,2018-04-28,123456,IT/Infra,Y,4,123456,Great,TRUE,2018-04-28,2018-04-28,40,S,1,TRUE,Great,Lovely,snow,,,,,,,,,,
Password1,emily,Emily,Bakowski,tinker_belle@gmail.com,Spanish Fork,UT,6248469754,2018-04-29,Texas Instruments,Dallas,TX,2018-04-29,651234,Software Engineering,Y,3,651234,Fabulous,TRUE,2018-04-29,2018-04-29,35,OK,3,TRUE,Fabulous,Snow,rain,,,,,,,,,,
Password1,scott,Scott,Bakowski,potty_scotty@gmail.com,Spanish Fork,UT,6579843251,2018-04-30,Microsoft,Redmond,WA,2018-04-30,351246,Mobile/Web Dev,Y,3,351246,Wonderful,TRUE,2018-04-30,2018-04-30,31,D,5,TRUE,Wonderful,Family,cold,,,,,,,,,,
Password1,camille,Camille,Duncan,camille@gmail.com,South Jordan,CO,6541237565,2018-05-01,Apple,Cupertino,CA,2018-05-01,216543,Security,N,2,216543,Amazing,TRUE,2018-05-01,2018-05-01,25,VD,4,FALSE,Amazing,Mittens,fat,,,,,,,,,,
Password1,nat,Natalie,Schwendiman,schwendie@gmail.com,Sparkle,WV,1234567891,2018-05-02,Cicsco,San Francisco,CA,2018-05-02,215648,Analytics,N,4,215648,Fantastic,TRUE,2018-05-02,2018-05-02,40,VD,3,FALSE,Fantastic,Crazy,lame,,,,,,,,,,
Password1,riley,Riley,Carter,carter@gmail.com,Memphis,TN,1657321456,2018-05-03,Airbnb,San Francisco,CA,2018-05-03,321564,Data Science,M,4,321564,Superb,TRUE,2018-05-03,2018-05-03,40,D,6,TRUE,Superb,Exciting,hurt,,,,,,,,,,
Password1,amanda,Amanda,Marsden,amarsden@gmail.com,St. George ,UT,6573214567,2018-05-04,Intuit,Mountain View,CA,2018-05-04,321564,Project,M,3,321564,Fine,TRUE,2018-05-04,2018-05-04,32,OK,2,TRUE,Fine,Sardines,sad,,,,,,,,,,
Password1,sam,Sam,Smith,sam@gmail.com,Alpin,UT,6123245654,2018-05-05,Adobe,San Jose,CA,2018-05-05,874561,IT Audit,N,3,874561,Simple,TRUE,2018-05-05,2018-05-05,35,S,3,FALSE,Simple,Cookies,water,,,,,,,,,,
Password1,marcia,Marcia,Linderman,marcia@gmail.com,Round Lake,IL,7651345673,2018-05-06,LinkedIn,Mountain View,CA,2018-05-06,321551,Security Audit,N,3,321551,Lame,TRUE,2018-05-06,2018-05-06,36,VS,4,FALSE,Lame,Kites,mouse,,,,,,,,,,
Password1,christa,Christa,Nava,christa@gmail.com,Orem,UT,61324561324,2018-05-07,Fast Enterprises,Centennial ,CO,2018-05-07,466251,Other,N,3,466251,Alright,TRUE,2018-05-07,2018-05-07,37,VS,2,FALSE,Alright,Scoot scoot,keyboard,,,,,,,,,,
